#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AA1EA8
#Date Time: 2020-05-19 16:47:40.564
#Sample rate: 1e+08Hz
#Samples: 4096

Time (s),Digital wave
-2.047e-05,2268
-2.046e-05,1827
-2.045e-05,4095
-2.044e-05,4095
-2.043e-05,4095
-2.042e-05,4095
-2.041e-05,3903
-2.04e-05,1825
-2.039e-05,1825
-2.038e-05,1825
-2.037e-05,1825
-2.036e-05,3126
-2.035e-05,3126
-2.034e-05,3126
-2.033e-05,3126
-2.032e-05,3126
-2.031e-05,1825
-2.03e-05,1825
-2.029e-05,1825
-2.028e-05,1825
-2.027e-05,1825
-2.026e-05,1084
-2.025e-05,1084
-2.024e-05,1084
-2.023e-05,1084
-2.022e-05,1084
-2.021e-05,3
-2.02e-05,0
-2.019e-05,0
-2.018e-05,0
-2.017e-05,0
-2.016e-05,1084
-2.015e-05,1084
-2.014e-05,1084
-2.013e-05,1084
-2.012e-05,1084
-2.011e-05,1825
-2.01e-05,1825
-2.009e-05,1825
-2.008e-05,1825
-2.007e-05,1825
-2.006e-05,3126
-2.005e-05,3126
-2.004e-05,3126
-2.003e-05,3126
-2.002e-05,3126
-2.001e-05,1825
-2e-05,1825
-1.999e-05,1825
-1.998e-05,1825
-1.997e-05,1825
-1.996e-05,2270
-1.995e-05,1855
-1.994e-05,4095
-1.993e-05,4095
-1.992e-05,4095
-1.991e-05,1851
-1.99e-05,1825
-1.989e-05,1825
-1.988e-05,1825
-1.987e-05,1825
-1.986e-05,3126
-1.985e-05,3126
-1.984e-05,3126
-1.983e-05,3126
-1.982e-05,3126
-1.981e-05,1825
-1.98e-05,1825
-1.979e-05,1825
-1.978e-05,1825
-1.977e-05,1825
-1.976e-05,1084
-1.975e-05,1084
-1.974e-05,1084
-1.973e-05,1084
-1.972e-05,1084
-1.971e-05,2
-1.97e-05,0
-1.969e-05,0
-1.968e-05,0
-1.967e-05,0
-1.966e-05,1084
-1.965e-05,1084
-1.964e-05,1084
-1.963e-05,1084
-1.962e-05,1084
-1.961e-05,1825
-1.96e-05,1825
-1.959e-05,1825
-1.958e-05,1825
-1.957e-05,1825
-1.956e-05,3126
-1.955e-05,3126
-1.954e-05,3126
-1.953e-05,3126
-1.952e-05,3126
-1.951e-05,1825
