#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AA1EA8
#Date Time: 2020-05-15 16:56:38.755
#Sample rate: 1e+08Hz
#Samples: 4096

Time (s),Bus
-3.083e-05,3319
-3.082e-05,4079
-3.081e-05,4079
-3.08e-05,4079
-3.079e-05,3071
-3.078e-05,4062
-3.077e-05,2822
-3.076e-05,1935
-3.075e-05,1675
-3.074e-05,1675
-3.073e-05,1675
-3.072e-05,3959
-3.071e-05,974
-3.07e-05,774
-3.069e-05,3285
-3.068e-05,196
-3.067e-05,196
-3.066e-05,196
-3.065e-05,4
-3.064e-05,0
-3.063e-05,0
-3.062e-05,196
-3.061e-05,196
-3.06e-05,196
-3.059e-05,774
-3.058e-05,774
-3.057e-05,774
-3.056e-05,1675
-3.055e-05,1675
-3.054e-05,1675
-3.053e-05,3723
-3.052e-05,3895
-3.051e-05,3022
-3.05e-05,2822
-3.049e-05,4079
-3.048e-05,4079
-3.047e-05,4079
-3.046e-05,2047
-3.045e-05,2047
-3.044e-05,4087
-3.043e-05,3319
-3.042e-05,3963
-3.041e-05,2546
-3.04e-05,2418
-3.039e-05,3319
-3.038e-05,3319
-3.037e-05,3319
-3.036e-05,4029
-3.035e-05,3903
-3.034e-05,4089
-3.033e-05,3963
-3.032e-05,4095
-3.031e-05,4094
-3.03e-05,4094
-3.029e-05,3897
-3.028e-05,3899
-3.027e-05,3897
-3.026e-05,4087
-3.025e-05,3319
-3.024e-05,3319
-3.023e-05,3319
-3.022e-05,3963
-3.021e-05,2546
-3.02e-05,2418
-3.019e-05,1271
-3.018e-05,1271
-3.017e-05,1271
-3.016e-05,4079
-3.015e-05,4079
-3.014e-05,4079
-3.013e-05,4079
-3.012e-05,3863
-3.011e-05,3070
-3.01e-05,2822
-3.009e-05,1675
-3.008e-05,1675
-3.007e-05,1675
-3.006e-05,910
-3.005e-05,3871
-3.004e-05,774
-3.003e-05,774
-3.002e-05,196
-3.001e-05,196
-3e-05,196
-2.999e-05,3899
-2.998e-05,196
-2.997e-05,0
-2.996e-05,196
-2.995e-05,196
-2.994e-05,196
-2.993e-05,196
-2.992e-05,774
-2.991e-05,838
-2.99e-05,774
-2.989e-05,1675
-2.988e-05,1675
-2.987e-05,1675
-2.986e-05,2958
