Time (s),Bus
0.04003402,341
0.04003403,181
0.04003404,1638
0.04003405,3362
0.04003406,4058
0.04003407,3535
0.04003408,2284
0.04003409,3362
0.0400341,4090
0.04003411,3535
0.04003412,1813
0.04003413,574
0.04003414,31
0.04003415,1130
0.04003416,411
0.04003417,3624
0.04003418,4072
0.04003419,3171
0.0400342,1875
0.04003421,1303
0.04003422,167
0.04003423,1638
0.04003424,1809
0.04003425,310
0.04003426,31
0.04003427,1128
0.04003428,2453
0.04003429,3926
0.0400343,3753
0.04003431,2747
0.04003432,2965
0.04003433,3926
0.04003434,3755
0.04003435,2748
0.04003436,986
0.04003437,67
0.04003438,913
0.04003439,1574
0.0400344,970
0.04003441,85
0.04003442,405
0.04003443,1574
0.04003444,3362
0.04003445,4090
0.04003446,3535
0.04003447,2284
0.04003448,958
0.04003449,67
0.0400345,921
0.04003451,1574
0.04003452,3688
0.04003453,4072
0.04003454,3171
0.04003455,1873
0.04003456,574
0.04003457,31
0.04003458,1626
0.04003459,2455
0.0400346,3668
0.04003461,4008
0.04003462,2811
0.04003463,3031
0.04003464,3926
0.04003465,3753
0.04003466,2747
0.04003467,986
0.04003468,85
0.04003469,405
0.0400347,1574
0.04003471,1858
0.04003472,341
0.04003473,181
0.04003474,1638
0.04003475,3362
0.04003476,4058
0.04003477,3535
0.04003478,2284
0.04003479,922
0.0400348,67
0.04003481,401
0.04003482,1574
0.04003483,3882
0.04003484,4090
0.04003485,3431
0.04003486,2284
0.04003487,558
0.04003488,75
0.04003489,731
0.0400349,2455
0.04003491,3688
0.04003492,4008
0.04003493,2675
0.04003494,1873
0.04003495,310
0.04003496,31
0.04003497,1128
0.04003498,2453
0.04003499,3926
0.040035,3753
0.04003501,2747
0.04003502,2965
0.04003503,3926
0.04003504,3755
0.04003505,2748
0.04003506,986
0.04003507,67
0.04003508,913
0.04003509,1574
0.0400351,970
0.04003511,85
0.04003512,405
0.04003513,1574
0.04003514,3362
0.04003515,4090
0.04003516,3535
0.04003517,2284
0.04003518,958
0.04003519,67
0.0400352,921
0.04003521,1574
0.04003522,3688
0.04003523,4072
0.04003524,3171
0.04003525,2519
0.04003526,3688
0.04003527,4008
0.04003528,2683
0.04003529,1858
0.0400353,277
0.04003531,167
0.04003532,1638
